"filename", "language", "Python", "Ini", "CSV", "comment", "blank", "total"
"d:\Projekte\ChestBuddy\chestbuddy\__init__.py", "Python", 27, 0, 0, 6, 13, 46
"d:\Projekte\ChestBuddy\chestbuddy\app.py", "Python", 371, 0, 0, 54, 96, 521
"d:\Projekte\ChestBuddy\chestbuddy\config.ini", "Ini", 0, 18, 0, 0, 6, 24
"d:\Projekte\ChestBuddy\chestbuddy\core\__init__.py", "Python", 4, 0, 0, 0, 2, 6
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\__init__.py", "Python", 11, 0, 0, 1, 3, 15
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\base_controller.py", "Python", 112, 0, 0, 13, 37, 162
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\data_view_controller.py", "Python", 757, 0, 0, 68, 205, 1030
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\error_handling_controller.py", "Python", 299, 0, 0, 14, 69, 382
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\file_operations_controller.py", "Python", 194, 0, 0, 26, 52, 272
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\progress_controller.py", "Python", 319, 0, 0, 54, 83, 456
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\ui_state_controller.py", "Python", 156, 0, 0, 6, 47, 209
"d:\Projekte\ChestBuddy\chestbuddy\core\controllers\view_state_controller.py", "Python", 656, 0, 0, 100, 172, 928
"d:\Projekte\ChestBuddy\chestbuddy\core\models\__init__.py", "Python", 8, 0, 0, 0, 4, 12
"d:\Projekte\ChestBuddy\chestbuddy\core\models\base_model.py", "Python", 52, 0, 0, 1, 20, 73
"d:\Projekte\ChestBuddy\chestbuddy\core\models\chest_data_model.py", "Python", 741, 0, 0, 127, 207, 1075
"d:\Projekte\ChestBuddy\chestbuddy\core\models\validation_list_model.py", "Python", 182, 0, 0, 13, 55, 250
"d:\Projekte\ChestBuddy\chestbuddy\core\services\__init__.py", "Python", 16, 0, 0, 0, 4, 20
"d:\Projekte\ChestBuddy\chestbuddy\core\services\chart_service.py", "Python", 294, 0, 0, 53, 86, 433
"d:\Projekte\ChestBuddy\chestbuddy\core\services\correction_service.py", "Python", 537, 0, 0, 59, 147, 743
"d:\Projekte\ChestBuddy\chestbuddy\core\services\csv_service.py", "Python", 679, 0, 0, 97, 173, 949
"d:\Projekte\ChestBuddy\chestbuddy\core\services\data_manager.py", "Python", 527, 0, 0, 133, 157, 817
"d:\Projekte\ChestBuddy\chestbuddy\core\services\validation_service.py", "Python", 530, 0, 0, 52, 151, 733
"d:\Projekte\ChestBuddy\chestbuddy\core\state\__init__.py", "Python", 7, 0, 0, 0, 4, 11
"d:\Projekte\ChestBuddy\chestbuddy\core\state\data_dependency.py", "Python", 101, 0, 0, 8, 26, 135
"d:\Projekte\ChestBuddy\chestbuddy\core\state\data_state.py", "Python", 206, 0, 0, 19, 57, 282
"d:\Projekte\ChestBuddy\chestbuddy\data\autosave.csv", "CSV", 0, 0, 11457, 0, 1, 11458
"d:\Projekte\ChestBuddy\chestbuddy\data\corrections\standard_corrections.csv", "CSV", 0, 0, 48, 0, 0, 48
"d:\Projekte\ChestBuddy\chestbuddy\data\data_manager.py", "Python", 12, 0, 0, 5, 5, 22
"d:\Projekte\ChestBuddy\chestbuddy\data\input\Chests_input_2025_03_11.csv", "CSV", 0, 0, 3498, 0, 0, 3498
"d:\Projekte\ChestBuddy\chestbuddy\data\input\Chests_input_2025_03_12.csv", "CSV", 0, 0, 7960, 0, 1, 7961
"d:\Projekte\ChestBuddy\chestbuddy\data\input\Chests_input_test.csv", "CSV", 0, 0, 12388, 0, 1, 12389
"d:\Projekte\ChestBuddy\chestbuddy\ui\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projekte\ChestBuddy\chestbuddy\ui\chart_tab.py", "Python", 267, 0, 0, 47, 76, 390
"d:\Projekte\ChestBuddy\chestbuddy\ui\correction_tab.py", "Python", 388, 0, 0, 74, 117, 579
"d:\Projekte\ChestBuddy\chestbuddy\ui\data_view.py", "Python", 774, 0, 0, 164, 192, 1130
"d:\Projekte\ChestBuddy\chestbuddy\ui\interfaces\__init__.py", "Python", 7, 0, 0, 0, 3, 10
"d:\Projekte\ChestBuddy\chestbuddy\ui\interfaces\updatable.py", "Python", 273, 0, 0, 15, 72, 360
"d:\Projekte\ChestBuddy\chestbuddy\ui\main_window.py", "Python", 819, 0, 0, 151, 202, 1172
"d:\Projekte\ChestBuddy\chestbuddy\ui\resources\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projekte\ChestBuddy\chestbuddy\ui\resources\icons.py", "Python", 77, 0, 0, 9, 25, 111
"d:\Projekte\ChestBuddy\chestbuddy\ui\resources\resource_manager.py", "Python", 79, 0, 0, 6, 26, 111
"d:\Projekte\ChestBuddy\chestbuddy\ui\resources\style.py", "Python", 269, 0, 0, 13, 65, 347
"d:\Projekte\ChestBuddy\chestbuddy\ui\utils\__init__.py", "Python", 16, 0, 0, 0, 9, 25
"d:\Projekte\ChestBuddy\chestbuddy\ui\utils\update_manager.py", "Python", 296, 0, 0, 38, 83, 417
"d:\Projekte\ChestBuddy\chestbuddy\ui\validation_tab.py", "Python", 286, 0, 0, 57, 99, 442
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\__init__.py", "Python", 26, 0, 0, 0, 4, 30
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\base_view.py", "Python", 213, 0, 0, 16, 67, 296
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\chart_view_adapter.py", "Python", 337, 0, 0, 43, 65, 445
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\correction_view_adapter.py", "Python", 211, 0, 0, 27, 56, 294
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\dashboard_view.py", "Python", 479, 0, 0, 64, 129, 672
