DATE,PLAYER,SOURCE,CHEST,SCORE,CLAN
2025-03-11,FeldjÃĪger,Level 25 Crypt,Fire Chest,275,MY_CLAN
2025-03-11,FeldjÃĪger,Level 25 rare Crypt,Rare Dragon Chest,350,MY_CLAN
2025-03-11,file:///D:/Projekte/ChestBuddy/chestbuddy/data/input/Chests_input_test.csv,Level 25 Crypt,Bone Chest,275,MY_CLAN
2025-03-11,file:///D:/Projekte/ChestBuddy/chestbuddy/data/input/Chests_input_test.csv,Level 25 epic Crypt,Ancient Bastion Chest,550,MY_CLAN
2025-03-11,FeldjÃĪger,Level 25 rare Crypt,Rare Dragon Chest,350,MY_CLAN
2025-03-11,Krümelmonster,Level 20 Crypt,Infernal Chest,84,MY_CLAN
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Krümelmonster,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Roin,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Roin,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Roin,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Roin,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Roin,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Roin,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Metaur,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Metaur,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Metaur,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Cenn,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Cenn,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Cenn,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Moraron,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Moraron,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Moraron,Bank,Wooden Chest,20,MY_CLAN
2025-03-11,Moraron,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Moraron,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Moraron,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Cenn,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Cenn,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Cenn,Bank,Bronze Chest,40,MY_CLAN
2025-03-11,Triple X,Level 20 epic Crypt,House of Horrors Chest,168,MY_CLAN
2025-03-11,Triple X,Level 30 rare Crypt,Rare Dragon Chest,500,MY_CLAN
2025-03-11,Triple X,Level 30 rare Crypt,Rare Dragon Chest,500,MY_CLAN
2025-03-11,Triple X,Level 25 epic Crypt,Trillium Chest,550,MY_CLAN
2025-03-11,Triple X,Level 25 epic Crypt,Scarab Chest,550,MY_CLAN
2025-03-11,Triple X,Level 25 epic Crypt,Minotaur Chest,550,MY_CLAN
2025-03-11,Triple X,Level 25 epic Crypt,Chest of the Cursed,550,MY_CLAN
2025-03-11,Triple X,Level 25 epic Crypt,Cobalt Chest,550,MY_CLAN
2025-03-11,Bumblebee,Clan wealth,Common Chest of Wealth,0,MY_CLAN
2025-03-11,Bumblebee,Clan wealth,Uncommon Chest of Wealth,0,MY_CLAN
2025-03-11,Bumblebee,Clan wealth,Rare Chest of Wealth,0,MY_CLAN
2025-03-11,Bumblebee,Clan wealth,Epic Chest of Wealth,0,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Dagdarim,Level 20 Crypt,Cobra Chest,84,MY_CLAN
2025-03-11,Runebinder,Level 30 rare Crypt,Rare Dragon Chest,500,MY_CLAN
2025-03-11,Runebinder,Level 30 rare Crypt,Rare Dragon Chest,500,MY_CLAN
2025-03-11,Runebinder,Level 25 rare Crypt,Rare Dragon Chest,350,MY_CLAN
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550,MY_CLAN
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550,MY_CLAN
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550,MY_CLAN
2025-03-11,Runebinder,Level 25 epic Crypt,Trillium Chest,550,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Sand Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Stone Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Stone Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Forgotten Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Fire Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Elegant Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Bone Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Infernal Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Barbarian Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Sand Chest,275,MY_CLAN
2025-03-11,Runebinder,Level 25 Crypt,Forgotten Chest,275,MY_CLAN
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
2025-03-11,Moony,Level 15 Citadel,Elven Citadel Chest,17,MY_CLAN
